university_name,accepted,total_app,acceptance_rate,condition,percent
Harvard University,2158,34950,0.062,Accepted,6.2
Harvard University,2158,34950,0.938,Rejected,93.8
Stanford University,2140,42497,0.050,Accepted,5
Stanford University,2140,42497,0.950,Rejected,95
Massachusetts Institute of Technology,1519,18306,0.083,Accepted,8.3
Massachusetts Institute of Technology,1519,18306,0.917,Rejected,91.7
University of California,11820,78893,0.150,Accepted,15
University of California,11820,78893,0.850,Rejected,85
University of Cambridge,3449,16431,0.150,Accepted,15
University of Cambridge,3449,16431,0.850,Rejected,85
Princeton University,2282,31659,0.072,Accepted,7.2
Princeton University,2282,31659,0.928,Rejected,92.8
California Institute of Technology,576,6525,0.088,Accepted,8.8
California Institute of Technology,576,6525,0.912,Rejected,91.2
Columbia University,2419,34929,0.069,Accepted,6.9
Columbia University,2419,34929,0.931,Rejected,93.1
University of Chicago,2521,27500,0.092,Accepted,9.2
University of Chicago,2521,27500,0.908,Rejected,90.8
University of Oxford,3216,18377,0.175,Accepted,17.5
University of Oxford,3216,18377,0.825,Rejected,82.5
