year,university,sex,people
2015,California Institute of Technology,1,740
2015,California Institute of Technology,2,1503
2015,Harvard University,1,10076
2015,Harvard University,2,10076
2015,University of Oxford,1,9163
2015,University of Oxford,2,10756
2015,Stanford University,1,6550
2015,Stanford University,2,9046
2015,University of Cambridge,1,8654
2015,University of Cambridge,2,10158
2015,Massachusetts Institute of Technology,1,4097
2015,Massachusetts Institute of Technology,2,6977
2015,Princeton University,1,3568
2015,Princeton University,2,4361
2015,"University of California, Berkeley",1,18093
2015,"University of California, Berkeley",2,18093
2015,Imperial College London,1,5572
2015,Imperial College London,2,9488
2015,Yale University,1,5876
2015,Yale University,2,5876
