year,university_name,female_male_ratio,gender,gender_percent
2015,California Institute of Technology,0.33,Female,33
2015,California Institute of Technology,0.67,Male,67
2015,Harvard University,0.39,Female,39
2015,Harvard University,0.61,Male,61
2015,University of Oxford,0.46,Female,46
2015,University of Oxford,0.54,Male,54
2015,Stanford University,0.42,Female,42
2015,Stanford University,0.58,Male,58
2015,University of Cambridge,0.46,Female,46
2015,University of Cambridge,0.54,Male,54
2015,Massachusetts Institute of Technology,0.37,Female,37
2015,Massachusetts Institute of Technology,0.63,Male,63
2015,Princeton University,0.45,Female,45
2015,Princeton University,0.55,Male,55
2015,University of California,0.5,Female,50
2015,University of California,0.5,Male,50
2015,Columbia University,0.51,Female,51
2015,Columbia University,0.49,Male,49
2015,University of Chicago,0.42,Female,42
2015,University of Chicago,0.58,Male,58
